rating,genres1,gen_num,hit,userrev
8.3,"['Biography', 'Drama', 'History', 'Music']","[3, 7, 11, 13]",1,1
8.3,"['Drama', 'War']","[7, 20]",1,0
8.3,"['Comedy', 'Crime', 'Drama']","[4, 5, 7]",1,0
8.3,"['Adventure', 'Mystery', 'Sci-Fi']","[1, 15, 17]",1,1
8.3,['Drama'],[7],1,0
8.3,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","[2, 1, 4, 8, 9]",1,1
8.3,"['Comedy', 'Musical', 'Romance']","[4, 14, 16]",1,0
8.3,"['Comedy', 'Crime']","[4, 5]",1,1
8.3,"['Adventure', 'Drama', 'War']","[1, 7, 20]",1,1
6.1,"['Comedy', 'Family', 'Fantasy']","[4, 8, 9]",1,1
8.3,"['Adventure', 'Comedy', 'Fantasy']","[1, 4, 9]",1,1
8.3,"['Crime', 'Drama', 'Mystery', 'Thriller']","[5, 7, 15, 19]",1,1
8.3,['Western'],[21],1,1
8.3,"['Crime', 'Drama', 'Mystery']","[5, 7, 15]",1,0
8.3,"['Comedy', 'Drama', 'Romance']","[4, 7, 16]",1,1
8.3,"['Crime', 'Drama']","[5, 7]",1,1
8.4,"['Comedy', 'Drama']","[4, 7]",1,0
8.3,"['Action', 'Adventure', 'Fantasy']","[0, 1, 9]",1,1
8.4,"['Drama', 'Mystery']","[7, 15]",1,1
8.3,"['Drama', 'Sci-Fi']","[7, 17]",1,1
8.3,['Drama'],[7],1,1
8.3,['Drama'],[7],1,1
8.3,"['Action', 'Drama', 'Thriller']","[0, 7, 19]",1,1
8.3,['Drama'],[7],1,1
8.3,"['Action', 'Adventure']","[0, 1]",1,1
8.3,"['Adventure', 'Drama', 'Western']","[1, 7, 21]",1,0
8.3,"['Comedy', 'Music', 'Romance']","[4, 13, 16]",1,0
8.3,"['Animation', 'Adventure', 'Comedy', 'Family']","[2, 1, 4, 8]",1,1
8.3,"['Drama', 'Western']","[7, 21]",1,0
8.3,"['Film-Noir', 'Mystery', 'Thriller']","[10, 15, 19]",1,1
8.3,"['Biography', 'Drama', 'History', 'War']","[3, 7, 11, 20]",1,1
8.3,"['Biography', 'Drama', 'Sport']","[3, 7, 18]",1,0
8.4,"['Drama', 'Family']","[7, 8]",1,1
8.2,"['Action', 'Thriller']","[0, 19]",1,1
8.3,"['Adventure', 'Drama', 'History', 'Thriller', 'War']","[1, 7, 11, 19, 20]",1,1
8.2,"['Drama', 'Mystery', 'Thriller']","[7, 15, 19]",1,1
8.3,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","[2, 1, 4, 7, 8, 9]",1,0
8.2,"['Action', 'Crime', 'Drama', 'Thriller']","[0, 5, 7, 19]",1,1
8.2,"['Drama', 'Fantasy', 'War']","[7, 9, 20]",1,1
8.2,['Drama'],[7],1,1
8.2,"['Crime', 'Drama', 'Romance', 'Thriller']","[5, 7, 16, 19]",1,1
8.2,"['Animation', 'Family', 'Fantasy']","[2, 8, 9]",1,0
8.3,['Drama'],[7],1,0
8.3,"['Action', 'Drama']","[0, 7]",1,1
8.2,"['Adventure', 'Comedy', 'Drama', 'Family']","[1, 4, 7, 8]",1,0
8.2,"['Comedy', 'Drama']","[4, 7]",1,0
8.2,"['Adventure', 'Drama', 'War']","[1, 7, 20]",1,1
8.2,"['Drama', 'Mystery', 'Thriller']","[7, 15, 19]",1,1
8.2,"['Sci-Fi', 'Thriller']","[17, 19]",1,0
8.3,"['Biography', 'Drama', 'History']","[3, 7, 11]",1,0
8.2,"['Drama', 'Fantasy']","[7, 9]",1,0
8.2,"['Comedy', 'Crime']","[4, 5]",1,1
8.2,"['Animation', 'Adventure', 'Family', 'Fantasy']","[2, 1, 8, 9]",1,0
8.2,"['Biography', 'Crime', 'Drama']","[3, 5, 7]",1,1
8.3,"['Drama', 'War']","[7, 20]",1,1
8.2,"['Drama', 'Romance']","[7, 16]",1,1
8.3,"['Drama', 'Romance']","[7, 16]",1,0
8.2,"['Action', 'Adventure', 'Comedy', 'Drama', 'War']","[0, 1, 4, 7, 20]",1,1
8.2,"['Biography', 'Drama']","[3, 7]",1,0
8.2,"['Biography', 'Drama']","[3, 7]",1,1
8.2,"['Drama', 'Sport']","[7, 18]",1,1
8.2,"['Biography', 'Comedy', 'Crime', 'Drama']","[3, 4, 5, 7]",1,1
8.2,"['Action', 'Drama', 'Thriller']","[0, 7, 19]",1,0
8.2,"['Drama', 'Mystery', 'War']","[7, 15, 20]",1,1
8.2,['Drama'],[7],1,0
8.3,['Drama'],[7],1,0
8.2,"['Comedy', 'Crime']","[4, 5]",1,1
8.2,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","[0, 1, 9, 17]",1,1
8.2,"['Drama', 'War']","[7, 20]",1,0
8.2,"['Crime', 'Film-Noir', 'Romance', 'Thriller']","[5, 10, 16, 19]",1,0
8.2,['Drama'],[7],1,1
8.2,"['Drama', 'History', 'Romance', 'War']","[7, 11, 16, 20]",1,1
9,"['Crime', 'Drama', 'Thriller']","[5, 7, 19]",1,0
8.2,"['Drama', 'Film-Noir', 'Mystery', 'Romance', 'Thriller']","[7, 10, 15, 16, 19]",1,0
8.2,['Drama'],[7],1,1
8.2,"['Animation', 'Adventure', 'Comedy', 'Family']","[2, 1, 4, 8]",1,1
8.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","[2, 0, 1, 4, 8, 9]",1,0
8.1,"['Drama', 'Mystery', 'Thriller']","[7, 15, 19]",1,1
8.2,"['Horror', 'Mystery', 'Sci-Fi']","[12, 15, 17]",1,1
8.1,"['Crime', 'Drama', 'Thriller']","[5, 7, 19]",1,0
8.2,"['Adventure', 'Biography', 'Drama']","[1, 3, 7]",1,0
8.2,"['Animation', 'Comedy', 'Drama']","[2, 4, 7]",1,1
8.4,"['Adventure', 'Biography', 'Drama', 'History', 'War']","[1, 3, 7, 11, 20]",1,0
